Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Solstice Reed Diffuser - Sea Salt Neroli,solstice-reed-diffuser-sea-salt-neroli,Solstice Reed Diffuser - Sea Salt Neroli is a thoughtfully styled reed diffuser designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Reed Diffuser,"Solstice, Reed Diffuser, Sea Salt Neroli, Home Decor, Gift Idea",TRUE,Active,SA-011,8800000000011,Title,Default Title,,,,,,,,31.00,39.00,13.95,TRUE,,,,,,shopify,20,DENY,445,g,TRUE,manual,https://picsum.photos/seed/solstice-reed-diffuser-sea-salt-neroli/1200/1200,1,Solstice Reed Diffuser - Sea Salt Neroli product image,,FALSE,Solstice Reed Diffuser - Sea Salt Neroli | Southern Aura Studio,"Shop Solstice Reed Diffuser - Sea Salt Neroli, a beautifully designed reed diffuser with a soft, elevated aesthetic.",#D8EEF0; #4F9AA3; #F2FBFB,Home & Garden > Decor,,Adult,SA-011,Solstice Reed Diffuser,Sea Salt Neroli,New,FALSE,Generated Catalog,Reed Diffuser,,,
Solstice Reed Diffuser - White Tea,solstice-reed-diffuser-white-tea,Solstice Reed Diffuser - White Tea is a thoughtfully styled reed diffuser designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Reed Diffuser,"Solstice, Reed Diffuser, White Tea, Home Decor, Gift Idea",TRUE,Active,SA-012,8800000000012,Title,Default Title,,,,,,,,34.25,42.25,15.41,TRUE,,,,,,shopify,23,DENY,220,g,TRUE,manual,https://picsum.photos/seed/solstice-reed-diffuser-white-tea/1200/1200,1,Solstice Reed Diffuser - White Tea product image,,FALSE,Solstice Reed Diffuser - White Tea | Southern Aura Studio,"Shop Solstice Reed Diffuser - White Tea, a beautifully designed reed diffuser with a soft, elevated aesthetic.",#ECE8DC; #99896B; #FBFAF5,Home & Garden > Decor,,Adult,SA-012,Solstice Reed Diffuser,White Tea,New,FALSE,Generated Catalog,Reed Diffuser,,,
Solstice Reed Diffuser - Bergamot Moss,solstice-reed-diffuser-bergamot-moss,Solstice Reed Diffuser - Bergamot Moss is a thoughtfully styled reed diffuser designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Reed Diffuser,"Solstice, Reed Diffuser, Bergamot Moss, Home Decor, Gift Idea",TRUE,Active,SA-013,8800000000013,Title,Default Title,,,,,,,,37.50,45.50,16.88,TRUE,,,,,,shopify,26,DENY,265,g,TRUE,manual,https://picsum.photos/seed/solstice-reed-diffuser-bergamot-moss/1200/1200,1,Solstice Reed Diffuser - Bergamot Moss product image,,FALSE,Solstice Reed Diffuser - Bergamot Moss | Southern Aura Studio,"Shop Solstice Reed Diffuser - Bergamot Moss, a beautifully designed reed diffuser with a soft, elevated aesthetic.",#DDE5D4; #6A8358; #F7FAF4,Home & Garden > Decor,,Adult,SA-013,Solstice Reed Diffuser,Bergamot Moss,New,FALSE,Generated Catalog,Reed Diffuser,,,
Solstice Reed Diffuser - Peony Rain,solstice-reed-diffuser-peony-rain,Solstice Reed Diffuser - Peony Rain is a thoughtfully styled reed diffuser designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Reed Diffuser,"Solstice, Reed Diffuser, Peony Rain, Home Decor, Gift Idea",TRUE,Active,SA-014,8800000000014,Title,Default Title,,,,,,,,18.00,26.00,8.10,TRUE,,,,,,shopify,29,DENY,310,g,TRUE,manual,https://picsum.photos/seed/solstice-reed-diffuser-peony-rain/1200/1200,1,Solstice Reed Diffuser - Peony Rain product image,,FALSE,Solstice Reed Diffuser - Peony Rain | Southern Aura Studio,"Shop Solstice Reed Diffuser - Peony Rain, a beautifully designed reed diffuser with a soft, elevated aesthetic.",#F1DCE5; #B4748B; #FFF7FA,Home & Garden > Decor,,Adult,SA-014,Solstice Reed Diffuser,Peony Rain,New,FALSE,Generated Catalog,Reed Diffuser,,,
Solstice Reed Diffuser - Spiced Tonka,solstice-reed-diffuser-spiced-tonka,Solstice Reed Diffuser - Spiced Tonka is a thoughtfully styled reed diffuser designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Reed Diffuser,"Solstice, Reed Diffuser, Spiced Tonka, Home Decor, Gift Idea",TRUE,Active,SA-015,8800000000015,Title,Default Title,,,,,,,,21.25,29.25,9.56,TRUE,,,,,,shopify,32,DENY,355,g,TRUE,manual,https://picsum.photos/seed/solstice-reed-diffuser-spiced-tonka/1200/1200,1,Solstice Reed Diffuser - Spiced Tonka product image,,FALSE,Solstice Reed Diffuser - Spiced Tonka | Southern Aura Studio,"Shop Solstice Reed Diffuser - Spiced Tonka, a beautifully designed reed diffuser with a soft, elevated aesthetic.",#E7D5C7; #9E6C48; #FCF7F3,Home & Garden > Decor,,Adult,SA-015,Solstice Reed Diffuser,Spiced Tonka,New,FALSE,Generated Catalog,Reed Diffuser,,,
Luna Hand Wash - Mineral Water,luna-hand-wash-mineral-water,Luna Hand Wash - Mineral Water is a thoughtfully styled hand wash designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Hand Wash,"Luna, Hand Wash, Mineral Water, Home Decor, Gift Idea",TRUE,Active,SA-016,8800000000016,Title,Default Title,,,,,,,,24.50,32.50,11.03,TRUE,,,,,,shopify,35,DENY,400,g,TRUE,manual,https://picsum.photos/seed/luna-hand-wash-mineral-water/1200/1200,1,Luna Hand Wash - Mineral Water product image,,FALSE,Luna Hand Wash - Mineral Water | Southern Aura Studio,"Shop Luna Hand Wash - Mineral Water, a beautifully designed hand wash with a soft, elevated aesthetic.",#D9EBF3; #6A9EB5; #F5FBFD,Home & Garden > Decor,,Adult,SA-016,Luna Hand Wash,Mineral Water,New,FALSE,Generated Catalog,Hand Wash,,,
Luna Hand Wash - White Sage,luna-hand-wash-white-sage,Luna Hand Wash - White Sage is a thoughtfully styled hand wash designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Hand Wash,"Luna, Hand Wash, White Sage, Home Decor, Gift Idea",TRUE,Active,SA-017,8800000000017,Title,Default Title,,,,,,,,27.75,35.75,12.49,TRUE,,,,,,shopify,38,DENY,445,g,TRUE,manual,https://picsum.photos/seed/luna-hand-wash-white-sage/1200/1200,1,Luna Hand Wash - White Sage product image,,FALSE,Luna Hand Wash - White Sage | Southern Aura Studio,"Shop Luna Hand Wash - White Sage, a beautifully designed hand wash with a soft, elevated aesthetic.",#E2E8DE; #7C9674; #F7FAF6,Home & Garden > Decor,,Adult,SA-017,Luna Hand Wash,White Sage,New,FALSE,Generated Catalog,Hand Wash,,,
Luna Hand Wash - Blush Peony,luna-hand-wash-blush-peony,Luna Hand Wash - Blush Peony is a thoughtfully styled hand wash designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Hand Wash,"Luna, Hand Wash, Blush Peony, Home Decor, Gift Idea",TRUE,Active,SA-018,8800000000018,Title,Default Title,,,,,,,,31.00,39.00,13.95,TRUE,,,,,,shopify,41,DENY,220,g,TRUE,manual,https://picsum.photos/seed/luna-hand-wash-blush-peony/1200/1200,1,Luna Hand Wash - Blush Peony product image,,FALSE,Luna Hand Wash - Blush Peony | Southern Aura Studio,"Shop Luna Hand Wash - Blush Peony, a beautifully designed hand wash with a soft, elevated aesthetic.",#F3DDE3; #B87B89; #FFF7F8,Home & Garden > Decor,,Adult,SA-018,Luna Hand Wash,Blush Peony,New,FALSE,Generated Catalog,Hand Wash,,,
Luna Hand Wash - Green Mandarin,luna-hand-wash-green-mandarin,Luna Hand Wash - Green Mandarin is a thoughtfully styled hand wash designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Hand Wash,"Luna, Hand Wash, Green Mandarin, Home Decor, Gift Idea",TRUE,Active,SA-019,8800000000019,Title,Default Title,,,,,,,,34.25,42.25,15.41,TRUE,,,,,,shopify,44,DENY,265,g,TRUE,manual,https://picsum.photos/seed/luna-hand-wash-green-mandarin/1200/1200,1,Luna Hand Wash - Green Mandarin product image,,FALSE,Luna Hand Wash - Green Mandarin | Southern Aura Studio,"Shop Luna Hand Wash - Green Mandarin, a beautifully designed hand wash with a soft, elevated aesthetic.",#EEF0C9; #98A53C; #FBFDEE,Home & Garden > Decor,,Adult,SA-019,Luna Hand Wash,Green Mandarin,New,FALSE,Generated Catalog,Hand Wash,,,
Luna Hand Wash - Cashmere Oud,luna-hand-wash-cashmere-oud,Luna Hand Wash - Cashmere Oud is a thoughtfully styled hand wash designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Hand Wash,"Luna, Hand Wash, Cashmere Oud, Home Decor, Gift Idea",TRUE,Active,SA-020,8800000000020,Title,Default Title,,,,,,,,37.50,45.50,16.88,TRUE,,,,,,shopify,47,DENY,310,g,TRUE,manual,https://picsum.photos/seed/luna-hand-wash-cashmere-oud/1200/1200,1,Luna Hand Wash - Cashmere Oud product image,,FALSE,Luna Hand Wash - Cashmere Oud | Southern Aura Studio,"Shop Luna Hand Wash - Cashmere Oud, a beautifully designed hand wash with a soft, elevated aesthetic.",#E9DDD5; #9B7464; #FCF8F6,Home & Garden > Decor,,Adult,SA-020,Luna Hand Wash,Cashmere Oud,New,FALSE,Generated Catalog,Hand Wash,,,
Marina Throw Pillow - Harbor Blue,marina-throw-pillow-harbor-blue,Marina Throw Pillow - Harbor Blue is a thoughtfully styled throw pillow designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Throw Pillow,"Marina, Throw Pillow, Harbor Blue, Home Decor, Gift Idea",TRUE,Active,SA-021,8800000000021,Title,Default Title,,,,,,,,18.00,26.00,8.10,TRUE,,,,,,shopify,50,DENY,355,g,TRUE,manual,https://picsum.photos/seed/marina-throw-pillow-harbor-blue/1200/1200,1,Marina Throw Pillow - Harbor Blue product image,,FALSE,Marina Throw Pillow - Harbor Blue | Southern Aura Studio,"Shop Marina Throw Pillow - Harbor Blue, a beautifully designed throw pillow with a soft, elevated aesthetic.",#D7E7F3; #4E7FA7; #F5FAFD,Home & Garden > Decor,,Adult,SA-021,Marina Throw Pillow,Harbor Blue,New,FALSE,Generated Catalog,Throw Pillow,,,
Marina Throw Pillow - Terracotta Clay,marina-throw-pillow-terracotta-clay,Marina Throw Pillow - Terracotta Clay is a thoughtfully styled throw pillow designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Throw Pillow,"Marina, Throw Pillow, Terracotta Clay, Home Decor, Gift Idea",TRUE,Active,SA-022,8800000000022,Title,Default Title,,,,,,,,21.25,29.25,9.56,TRUE,,,,,,shopify,20,DENY,400,g,TRUE,manual,https://picsum.photos/seed/marina-throw-pillow-terracotta-clay/1200/1200,1,Marina Throw Pillow - Terracotta Clay product image,,FALSE,Marina Throw Pillow - Terracotta Clay | Southern Aura Studio,"Shop Marina Throw Pillow - Terracotta Clay, a beautifully designed throw pillow with a soft, elevated aesthetic.",#EED4C7; #B5694C; #FFF7F3,Home & Garden > Decor,,Adult,SA-022,Marina Throw Pillow,Terracotta Clay,New,FALSE,Generated Catalog,Throw Pillow,,,
Marina Throw Pillow - Olive Weave,marina-throw-pillow-olive-weave,Marina Throw Pillow - Olive Weave is a thoughtfully styled throw pillow designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Throw Pillow,"Marina, Throw Pillow, Olive Weave, Home Decor, Gift Idea",TRUE,Active,SA-023,8800000000023,Title,Default Title,,,,,,,,24.50,32.50,11.03,TRUE,,,,,,shopify,23,DENY,445,g,TRUE,manual,https://picsum.photos/seed/marina-throw-pillow-olive-weave/1200/1200,1,Marina Throw Pillow - Olive Weave product image,,FALSE,Marina Throw Pillow - Olive Weave | Southern Aura Studio,"Shop Marina Throw Pillow - Olive Weave, a beautifully designed throw pillow with a soft, elevated aesthetic.",#DDE3D6; #6F7E58; #F7FAF5,Home & Garden > Decor,,Adult,SA-023,Marina Throw Pillow,Olive Weave,New,FALSE,Generated Catalog,Throw Pillow,,,
Marina Throw Pillow - Sunset Coral,marina-throw-pillow-sunset-coral,Marina Throw Pillow - Sunset Coral is a thoughtfully styled throw pillow designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Throw Pillow,"Marina, Throw Pillow, Sunset Coral, Home Decor, Gift Idea",TRUE,Active,SA-024,8800000000024,Title,Default Title,,,,,,,,27.75,35.75,12.49,TRUE,,,,,,shopify,26,DENY,220,g,TRUE,manual,https://picsum.photos/seed/marina-throw-pillow-sunset-coral/1200/1200,1,Marina Throw Pillow - Sunset Coral product image,,FALSE,Marina Throw Pillow - Sunset Coral | Southern Aura Studio,"Shop Marina Throw Pillow - Sunset Coral, a beautifully designed throw pillow with a soft, elevated aesthetic.",#F6D7CE; #D97962; #FFF8F5,Home & Garden > Decor,,Adult,SA-024,Marina Throw Pillow,Sunset Coral,New,FALSE,Generated Catalog,Throw Pillow,,,
Marina Throw Pillow - Fog Linen,marina-throw-pillow-fog-linen,Marina Throw Pillow - Fog Linen is a thoughtfully styled throw pillow designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Throw Pillow,"Marina, Throw Pillow, Fog Linen, Home Decor, Gift Idea",TRUE,Active,SA-025,8800000000025,Title,Default Title,,,,,,,,31.00,39.00,13.95,TRUE,,,,,,shopify,29,DENY,265,g,TRUE,manual,https://picsum.photos/seed/marina-throw-pillow-fog-linen/1200/1200,1,Marina Throw Pillow - Fog Linen product image,,FALSE,Marina Throw Pillow - Fog Linen | Southern Aura Studio,"Shop Marina Throw Pillow - Fog Linen, a beautifully designed throw pillow with a soft, elevated aesthetic.",#EAE7E1; #A09A8F; #FDFCF9,Home & Garden > Decor,,Adult,SA-025,Marina Throw Pillow,Fog Linen,New,FALSE,Generated Catalog,Throw Pillow,,,
Atelier Mug - Cloud White,atelier-mug-cloud-white,Atelier Mug - Cloud White is a thoughtfully styled mug designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Mug,"Atelier, Mug, Cloud White, Home Decor, Gift Idea",TRUE,Active,SA-026,8800000000026,Title,Default Title,,,,,,,,34.25,42.25,15.41,TRUE,,,,,,shopify,32,DENY,310,g,TRUE,manual,https://picsum.photos/seed/atelier-mug-cloud-white/1200/1200,1,Atelier Mug - Cloud White product image,,FALSE,Atelier Mug - Cloud White | Southern Aura Studio,"Shop Atelier Mug - Cloud White, a beautifully designed mug with a soft, elevated aesthetic.",#F4F2EC; #B7B2A7; #FFFEFC,Home & Garden > Decor,,Adult,SA-026,Atelier Mug,Cloud White,New,FALSE,Generated Catalog,Mug,,,
Atelier Mug - Stone Blue,atelier-mug-stone-blue,Atelier Mug - Stone Blue is a thoughtfully styled mug designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Mug,"Atelier, Mug, Stone Blue, Home Decor, Gift Idea",TRUE,Active,SA-027,8800000000027,Title,Default Title,,,,,,,,37.50,45.50,16.88,TRUE,,,,,,shopify,35,DENY,355,g,TRUE,manual,https://picsum.photos/seed/atelier-mug-stone-blue/1200/1200,1,Atelier Mug - Stone Blue product image,,FALSE,Atelier Mug - Stone Blue | Southern Aura Studio,"Shop Atelier Mug - Stone Blue, a beautifully designed mug with a soft, elevated aesthetic.",#D8E2EC; #6D89A6; #F5F9FC,Home & Garden > Decor,,Adult,SA-027,Atelier Mug,Stone Blue,New,FALSE,Generated Catalog,Mug,,,
